time	signal1	signal2	signal3	subtr1	subtr2	subtr3
25.696	2.35377	0.00636	-0.01451	1.1898099999999998	0.44766999999999996	0.3513
25.707	2.37571	0.01725	-0.01971	1.2136800000000003	0.44672999999999996	0.34475
25.718	2.40224	0.01908	-0.01978	1.24003	0.44486	0.34062
25.729	2.43442	0.01742	-0.02434	1.271	0.45583	0.33446
25.74	2.46547	0.04773	-0.02325	1.3035299999999999	0.48697999999999997	0.33211
25.751	2.49168	0.05597	-0.01669	1.3319500000000002	0.49905	0.33499
25.762	2.51267	0.04944	-0.00895	1.35652	0.4849	0.33629
25.773	2.52562	0.04801	-0.01637	1.37074	0.48654	0.325
25.784	2.52946	0.0435	-0.02252	1.3762699999999999	0.48657999999999996	0.31793
25.795	2.52038	0.03755	-0.04318	1.36672	0.48144	0.29796
25.806	2.49941	0.04185	-0.05195	1.34583	0.46848	0.28747
25.817	2.46953	0.0308	-0.06987	1.3181199999999997	0.46641	0.26786
25.828	2.42988	0.01217	-0.06576	1.2814599999999998	0.46222	0.27279000000000003
25.839	2.3857	-0.00246	-0.04611	1.23901	0.44642	0.28582
25.85	2.33682	0.00646	-0.04322	1.18929	0.43858	0.28599
25.861	2.28549	0.00871	-0.05288	1.1373699999999998	0.42312	0.28122
25.872	2.23441	0.00079	-0.04872	1.08843	0.41701	0.27987
25.883	2.18817	-0.01405	-0.05336	1.04271	0.40987999999999997	0.26849999999999996
25.894	2.14632	-0.03599	-0.05686	1.0000499999999999	0.39454	0.26992
25.905	2.10811	-0.05056	-0.06535	0.9617899999999999	0.37536	0.26560999999999996
25.916	2.07254	-0.0415	-0.07415	0.9252500000000001	0.38428	0.25746
25.927	2.03825	-0.04679	-0.07844	0.8886600000000002	0.38259	0.24999
25.938	2.01052	-0.05989	-0.08047	0.8597400000000002	0.36699	0.25849
25.949	1.9864	-0.04933	-0.08723	0.83555	0.38481000000000004	0.25825
